Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
44263,MSD01,3/8/21,27.79317769,1,87321.40805,1
927,MSD02,3/15/21,16.81602875,1,221660.1845,1
930,MSD03,3/15/21,42.87928366,1,277964.0105,1
932,MSD04,3/15/21,10.14732864,1,154464.1299,1
933,MSD05,3/15/21,9.127171632,1,86776.852,1
44270,MSD01,3/15/21,14.45364131,1,99917.58502,1
942,MSD02,3/22/21,32.32256915,1,237201.1848,1
945,MSD03,3/22/21,44.02186758,1,560487.8581,1
947,MSD04,3/22/21,41.26720033,1,194282.2286,1
948,MSD05,3/22/21,46.2881519,1,206200.7646,1
44277,MSD01,3/22/21,77.22605447,1,205401.2436,1
957,MSD02,3/29/21,66.69851604,1,190999.6953,1
960,MSD03,3/29/21,62.80850968,1,1027510.533,1
962,MSD04,3/29/21,45.4023457,1,505081.7686,1
963,MSD05,3/29/21,19.66357427,1,340273.7586,1
44284,MSD01,3/29/21,39.18088781,1,333793.3585,1
972,MSD02,4/5/21,23.31789405,1,109090.126,1
975,MSD03,4/5/21,57.19877002,1,222432.3938,1
977,MSD04,4/5/21,44.25816911,1,198629.5397,1
978,MSD05,4/5/21,55.46763351,1,217607.5356,1
44291,MSD01,4/5/21,27.06924258,1,138594.7015,1
987,MSD02,4/12/21,12.59952441,1,38974.79636,1
990,MSD03,4/12/21,22.99984779,1,115452.8948,1
992,MSD04,4/12/21,15.57705144,1,83790.0243,1
993,MSD05,4/12/21,12.0672876,1,53680.98235,1
44298,MSD01,4/12/21,10.7712188,1,32001.53166,1
1003,MSD02,4/14/21,64.43499806,1,18827.74864,1
1006,MSD03,4/14/21,29.99547227,1,62695.60655,1
1008,MSD04,4/14/21,15.38347983,1,36903.29714,1
1009,MSD05,4/14/21,17.40368386,1,41323.39841,1
44300,MSD01,4/14/21,10.39133177,1,12657.59565,1
1019,MSD02,4/19/21,11.44155173,1,17008.88432,1
1022,MSD03,4/19/21,33.84073832,1,41083.84844,1
1024,MSD04,4/19/21,9.711424293,1,19148.3186,1
1025,MSD05,4/19/21,69.49894317,1,32806.71263,1
44305,MSD01,4/19/21,5.896531317,88,12081.50352,1
1035,MSD02,4/21/21,15.53202366,1,47813.42688,1
1038,MSD03,4/21/21,19.02967725,1,58793.61934,1
1040,MSD04,4/21/21,35.63125415,1,82105.96114,1
1041,MSD05,4/21/21,5.41689888,88,62025.71829,1
44307,MSD01,4/21/21,12.89517506,1,25887.65764,1
1051,MSD02,4/26/21,12.1250353,1,13231.51755,1
1054,MSD03,4/26/21,8.676420814,1,53486.53789,1
1056,MSD04,4/26/21,7.498202312,88,59683.55862,1
1057,MSD05,4/26/21,6.130559228,88,39443.16586,1
44312,MSD01,4/26/21,8.320370002,1,22135.77829,1
1067,MSD02,4/28/21,29.87334885,1,53149.83683,1
1070,MSD03,4/28/21,28.97245105,1,114696.5775,1
1072,MSD04,4/28/21,25.82747424,1,56455.28154,1
1073,MSD05,4/28/21,12.95598371,1,50747.78488,1
44314,MSD01,4/28/21,7.151020253,88,24762.7688,1
1083,MSD02,5/3/21,21.70929392,1,41195.23486,1
1086,MSD03,5/3/21,5.212970668,88,21963.96473,1
1088,MSD04,5/3/21,9.061606048,1,22609.49165,1
1089,MSD05,5/3/21,26.57726795,1,46068.76109,1
44319,MSD01,5/3/21,16.29925075,1,19973.91385,1
1099,MSD02,5/5/21,10.76163108,1,23028.6915,1
1102,MSD03,5/5/21,11.11677396,1,37203.89635,1
1104,MSD04,5/5/21,7.301444427,88,32098.57632,1
1105,MSD05,5/5/21,9.326939178,1,32213.27898,1
44321,MSD01,5/5/21,3.847784504,88,12046.71661,1
1115,MSD02,5/10/21,18.97926264,1,61768.46068,1
1118,MSD03,5/10/21,4.384990081,88,49309.30653,1
1120,MSD04,5/10/21,15.77291582,1,67371.98335,1
1121,MSD05,5/10/21,10.92421307,1,47370.04066,1
44326,MSD01,5/10/21,5.534266956,88,7649.258947,1
1131,MSD02,5/12/21,19.41542791,1,53326.75722,1
1134,MSD03,5/12/21,5.408532866,88,194860.8957,1
1136,MSD04,5/12/21,9.7702483,1,169502.6153,1
1137,MSD05,5/12/21,10.78512078,1,126891.6338,1
44328,MSD01,5/12/21,3.81440749,88,29241.90431,1
1147,MSD02,5/17/21,17.59426216,1,67596.78725,1
1150,MSD03,5/17/21,38.25254789,1,69945.3849,1
1152,MSD04,5/17/21,21.77056717,1,83376.27993,1
1153,MSD05,5/17/21,21.71296693,1,46716.24932,1
44333,MSD01,5/17/21,17.36533766,1,61541.88983,1
1163,MSD02,5/19/21,20.22145047,1,41965.16337,1
1166,MSD03,5/19/21,30.49472107,1,38259.63286,1
1168,MSD04,5/19/21,11.61761558,1,71333.70046,1
1169,MSD05,5/19/21,33.09194857,1,50579.90597,1
1179,MSD02,5/24/21,5.61242978,88,45485.96548,1
1185,MSD05,5/24/21,5.596180256,88,75336.7419,1
44340,MSD01,5/24/21,2.645216648,88,20394.89213,1
1195,MSD02,5/26/21,3.450073987,88,20773.65031,1
1198,MSD03,5/26/21,3.005392838,88,70183.9185,1
1200,MSD04,5/26/21,2.623908265,88,60133.62317,1
1201,MSD05,5/26/21,1.955551045,88,71802.68772,1
44342,MSD01,5/26/21,3.311151949,88,11529.54613,1
1211,MSD02,5/31/21,3.609206945,88,13989.54003,1
1214,MSD03,5/31/21,2.609301934,88,22461.38902,1
1216,MSD04,5/31/21,1.867791057,88,14840.85099,1
44347,MSD01,5/31/21,0.743772729,88,11043.44475,1
