"","date","inc","inc.top","inc.bot","pop","time_point","week","group"
"138",2021-09-07,0.00746529474651814,0.0149305887310923,7.61943979041838e-10,295910,137,20,"d1"
"139",2021-09-08,0.00749130412278686,0.0149826075339665,7.11607199779839e-10,295910,138,20,"d1"
"140",2021-09-09,0.00746089972550389,0.0149217987865445,6.64463324601043e-10,295910,139,20,"d1"
"141",2021-09-10,0.00737559492433409,0.0147511892283484,6.20319806247164e-10,295910,140,20,"d1"
"142",2021-09-11,0.00723854653600383,0.0144770924930127,5.7899497128435e-10,295910,141,20,"d1"
"143",2021-09-12,0.00710120330184977,0.014202406063382,5.40317459570635e-10,295910,142,20,"d1"
"144",2021-09-13,0.00719804714296223,0.0143960937817987,5.04125688782468e-10,295910,143,20,"d1"
"145",2021-09-14,0.00728772362998874,0.0145754467897101,4.70267343154927e-10,295910,144,21,"d1"
"146",2021-09-15,0.00732068495817621,0.0146413694777535,4.38598885598274e-10,295910,145,21,"d1"
"147",2021-09-16,0.00729639127504863,0.0145927821411122,4.08985092363131e-10,295910,146,21,"d1"
"148",2021-09-17,0.00721616394815735,0.014432327515016,3.81298609437979e-10,295910,147,21,"d1"
"149",2021-09-18,0.00708307026812911,0.0141661401808387,3.55419529875378e-10,295910,148,21,"d1"
"150",2021-09-19,0.0069016929493337,0.0138033855674324,3.31234991257313e-10,295910,149,21,"d1"
"151",2021-09-20,0.00667781272397031,0.0133556251393019,3.08638792525209e-10,295910,150,21,"d1"
"152",2021-09-21,0.00657714056258613,0.0131542808376412,2.87531029416178e-10,295910,151,22,"d1"
"153",2021-09-22,0.00659704958265543,0.0131940988974932,2.67817747763953e-10,295910,152,22,"d1"
"154",2021-09-23,0.00657342248025315,0.0131468447110956,2.49410613940533e-10,295910,153,22,"d1"
"155",2021-09-24,0.00650727479819785,0.0130145493641691,2.32226601732676e-10,295910,154,22,"d1"
"156",2021-09-25,0.00640073885346519,0.0128014774907427,2.16187694965987e-10,295910,155,22,"d1"
"157",2021-09-26,0.00625692835827543,0.0125138565153303,2.01220605208313e-10,295910,156,22,"d1"
"158",2021-09-27,0.00612503058676146,0.0122500609862664,1.87256503903317e-10,295910,157,22,"d1"
"159",2021-09-28,0.00634414895198633,0.0126882977297419,1.74230768304585e-10,295910,158,23,"d1"
"160",2021-09-29,0.00661259630951772,0.0132251924569528,1.62082740600036e-10,295910,159,23,"d1"
"161",2021-09-30,0.00684178290922514,0.0136835656676948,1.50755499635978e-10,295910,160,23,"d1"
"162",2021-04-23,0.000446448348427252,0.000825069147500549,6.78275493539547e-05,295910,0,0,"d2"
"163",2021-04-24,0.000407971314530252,0.000753697114530234,6.22455145302697e-05,295910,1,0,"d2"
"164",2021-04-25,0.000380349314954342,0.000703907776229619,5.67908536790643e-05,295910,2,0,"d2"
"165",2021-04-26,0.000354549029541626,0.000657310209454135,5.17878496291167e-05,295910,3,0,"d2"
"166",2021-04-27,0.000328774024178063,0.000613721231584586,4.38268167715403e-05,295910,4,1,"d2"
"167",2021-04-28,0.000304561237947147,0.000572966077101558,3.6156398792735e-05,295910,5,1,"d2"
"168",2021-04-29,0.000282354367960358,0.000534878383349081,2.98303525716354e-05,295910,6,1,"d2"
"169",2021-04-30,0.000262076145421965,0.000499539283240022,2.46130076039093e-05,295910,7,1,"d2"
"170",2021-05-01,0.000246146002488633,0.000471982009012343,2.03099959649239e-05,295910,8,1,"d2"
"171",2021-05-02,0.00023212907352058,0.000447497128615889,1.676101842527e-05,295910,9,1,"d2"
"172",2021-05-03,0.000219071390502973,0.000424308905003723,1.38338760022227e-05,295910,10,1,"d2"
"173",2021-05-04,0.00020774605755706,0.000404072569038195,1.14195460759243e-05,295910,11,2,"d2"
"174",2021-05-05,0.000200237069518578,0.00039108242654416,9.39171249299542e-06,295910,12,2,"d2"
"175",2021-05-06,0.000193251700934634,0.000378970679287331,7.53272258193734e-06,295910,13,2,"d2"
"176",2021-05-07,0.000186661131726778,0.000367306722540056,6.01554091349948e-06,295910,14,2,"d2"
"177",2021-05-08,0.00018044901567156,0.000356092626573115,4.80540477000468e-06,295910,15,2,"d2"
